product_name,quantity,nutrition_score,carbon_footprint,co2_packaging,store_count,country count,ingredients,Satisfaction
Tablette lait,100 g,28,12.741300238,0.10429359,0,1,39%,1
Mini tablette chocolat lait amande,,26,12.741300238,0.10429359,0,1,42%,1
Chocolat noir fleur de sel 70% cacao,100 g,20,17.110287748,0.10429359,2,1,70%,3
Chocolat noir à la fleur de sel bio Fair trade,100 g,20,17.110287748,0.10429359,1,1,70%,2
Chocolat au lait et aux noisettes entières bio,200 g,23,12.741300238,0.10429359,0,1,30%,1
2 Mini tablettes à croquer,2 x 75 g,23,12.741300238,0.10429359,0,1,33%,1
Tablette chocolat noir,,21,,,0,1,52%,1
Chocolat noir,125g,,,,0,1,70%,1
Praliné chocolat noir,200 g,21,17.110287748,0.10429359,0,1,49%,1
Chocolat au lait tablette,4 x 110 g,26,12.741300238,0.10429359,0,1,30%,1
Lapins au chocolat,110 g,25,12.741300238,0.10429359,1,1,33%,2
Chocolat noir Equateur 85%,,20,17.110287748,0.10429359,1,1,85%,2
Chocolat noir Amande,100 g,17,17.110287748,0.10429359,0,1,65%,1
Je t'aime,30 g,26,12.741300238,0.10429359,0,1,31%,1
Karma coconut choco,75 g,18,12.741300238,0.10429359,1,2,43%,3
Ma tablette de chocolat noir,50g,27,17.110287748,0.10429359,1,1,70%,2
